,name,location,description,score,url,lat,lon,rank,lat_location,lon_location,Forecast
67,Appartement Les Roches Bleues - 5RB14,Collioure,"Featuring sea views, Appartement Les Roches Bleues - 5RB14 offers accommodation with a balcony and a coffee machine, around 200 metres from Reguers Beach. ",9.0,https://www.booking.com/hotel/fr/appartement-les-roches-bleues-collioure.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b896669842e2015a&srepoch=1676471729&from_beach_sr=1&from=searchresults#hotelTmpl,42.523431,3.0976879999999998,8,42.52505,3.0831554,12.92
68,appart central et son parking privatif gratuit,Collioure,Managed by a private host,8.9,https://www.booking.com/hotel/fr/appart-central-collioure.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=30&hapos=30&sr_order=popularity&srpvid=b896669842e2015a&srepoch=1676471729&from_beach_sr=1&from=searchresults#hotelTmpl,42.52488242,3.08187893,9,42.52505,3.0831554,12.92
69,Le Madeloc Hôtel & Spa,Collioure,Just 500 metres from Collioure town centre and a 10-minute walk from the beach is Le Madeloc Hôtel & Spa. ,8.8,https://www.booking.com/hotel/fr/madeloc.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=b896669842e2015a&srepoch=1676471729&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,42.52876467,3.07865426,10,42.52505,3.0831554,12.92
70,Hôtel La Casa Pairal,Collioure,"Situated 250 metres from Collioure beach and port, Hôtel La Casa Pairal features an exotic floral garden and a heated outdoor swimming pool. ",8.8,https://www.booking.com/hotel/fr/hotelcasapairal.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b896669842e2015a&srepoch=1676471729&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,42.52616733,3.08235571,11,42.52505,3.0831554,12.92
71,Hôtel la Bona Casa,Collioure,"Hotel Bona Casa is located in the historic centre of Collioure, just 300 metres from the beach and from the Château Royal. The hotel proposes free Wi-Fi internet access and a shaded terrace. ",8.5,https://www.booking.com/hotel/fr/la-bona-casa.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=b896669842e2015a&srepoch=1676471729&from_beach_sr=1&from=searchresults#hotelTmpl,42.52547153,3.0826987,12,42.52505,3.0831554,12.92
72,La Frégate,Collioure,"La Frégate features a shared lounge, terrace, a restaurant and bar in Collioure. ",8.3,https://www.booking.com/hotel/fr/la-fra-c-gate-collioure.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=b896669842e2015a&srepoch=1676471729&from_beach_sr=1&from=searchresults#hotelTmpl,42.52638625,3.08325659,13,42.52505,3.0831554,12.92
73,Résidence les Impériales 6IMP40,Collioure,"Résidence les Impériales 6IMP40 is set in Collioure, 700 metres from Balette Beach and less than 1 km from Boutigue Beach, in an area where hiking can be enjoyed. ",8.3,https://www.booking.com/hotel/fr/residence-les-imperiales-6imp40.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=b896669842e2015a&srepoch=1676471729&from_beach_sr=1&from=searchresults#hotelTmpl,42.5224225,3.0925124999999998,14,42.52505,3.0831554,12.92
74,Résidence Saint Vincent,Collioure,"Set in Collioure, 80 metres from Boramar Beach and 200 metres from Nord Beach, Résidence Saint Vincent offers city views and free WiFi. ",8.1,https://www.booking.com/hotel/fr/residence-saint-vincent.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b896669842e2015a&srepoch=1676471729&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,42.52730095,3.08423268,15,42.52505,3.0831554,12.92
75,Appartement de 2 chambres a Collioure a 400 m de la plage avec vue sur la mer jardin clos et wifi,Collioure,"Situated in Collioure and only 700 metres from Balette Beach, Appartement de 2 chambres a Collioure a 400 m de la plage avec vue sur la mer jardin clos et wifi features accommodation with garden...",8.0,https://www.booking.com/hotel/fr/apartment-route-imperiale.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=b896669842e2015a&srepoch=1676471729&from_beach_sr=1&from=searchresults#hotelTmpl,42.52260227,3.09160033,16,42.52505,3.0831554,12.92
76,Le Mas des Citronniers,Collioure,"Located in the centre of Collioure, just 250 metres from the beach, this hotel offers air-conditioned guestrooms in a traditional Catalan building. Free Wi-Fi is available throughout the hotel. ",8.0,https://www.booking.com/hotel/fr/lesmasdescitronniers.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b896669842e2015a&srepoch=1676471729&from_beach_sr=1&from=searchresults#hotelTmpl,42.52538159,3.08256391,17,42.52505,3.0831554,12.92
77,Hôtel Princes de Catalogne,Collioure,"Situated on a quiet square in picturesque Collioure, this hotel is located a 400 metres from the beach. The hotel was renovated in early 2021 and features a contemporary style. ",7.9,https://www.booking.com/hotel/fr/princes-de-catalogne.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQuIAgGoAgO4Ao7as58GwAIB0gIkYjhmZjY4NmEtZDg2Ny00Y2Q2LWIzY2UtNzVhNDYwM2MwMjBj2AIG4AIB&sid=b764fed640d524b81967b116ed27a5b1&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=b896669842e2015a&srepoch=1676471729&from_beach_sr=1&from=searchresults#hotelTmpl,42.52591431,3.0826816,18,42.52505,3.0831554,12.92
